Location,Class
CHIKKAMAGALURU,Unclassified
CHIKLA,Unclassified
CHIKLA DIST.,Unclassified
CHIKMAGALUR,Unclassified
CHINCHINIM,Unclassified
CHINCHWAD,Unclassified
CHINDRAN,Unclassified
CHINSDA,Unclassified
CHINTAMANI,Unclassified
CHITKUL,Unclassified
CHITRADURGA,Unclassified
CHITRAKOOT,Unclassified
CHITRAKOOT DIST.,Unclassified
CHITTOOR,Unclassified
CHITTOOR DIST.,Unclassified
CHITTORGARH,Unclassified
CHNDIKHOLE,Unclassified
CHOPANKI,Unclassified
CHUBWA,Unclassified
CHURACHANDPUR,Unclassified
CHURU,Unclassified
CHURU DIST.,Unclassified
COCHIN,Unclassified
COIMBATORE,Unclassified
COIMBATORE DIST.,Unclassified
COORG,Unclassified
CORBETT,Unclassified
CORTALIM,Unclassified
CUDDALORE,Unclassified
CUDDALORE DIST.,Unclassified
CUTTACK,Unclassified
DABHASA,Unclassified
DABHASA DIST.,Unclassified
DADAR (WEST,Unclassified
DADHEDA,Unclassified
DADRA,Unclassified
DADRI,Unclassified
DAFAIPARA,Unclassified
DAHANU,Unclassified
DAHEDA,Unclassified
DAHEJ,Unclassified
DAHLEWADI,Unclassified
DAHLIA,Unclassified
DAHOD,Unclassified
DAKSHINA KANNADA,Unclassified
DALMAU DIST.,Unclassified
DAMOH,Unclassified
DANG,Unclassified
DANG DIST.,Unclassified
DANGS,Unclassified
DARBHANGA,Unclassified
DARJEELING,Unclassified
DARRAGH SALAAM ROAD,Unclassified
DARRANG,Unclassified
DAUSA,Unclassified
DAUSOD,Unclassified
DAVANAGERE,Unclassified
DEHRADUN,Unclassified
DELHI /NCR,Unclassified
DEMNI,Unclassified
DENKANIKOTTAI,Unclassified
DEOGARH,Unclassified
DEOJHAR,Unclassified
DEORIA,Unclassified
DEULI,Unclassified
DEVANAHALLI,Unclassified
DEVAPUR DIST.,Unclassified
DEVBHOOMI,Unclassified
DEVBHOOMI DWARKA,Unclassified
DEVBHUMI DWARKA,Unclassified
DEVIPURA,Unclassified
DEWAS,Unclassified
DEWAS DIST.,Unclassified
DHAMANPET,Unclassified
DHAMARI,Unclassified
DHAMDHERE,Unclassified
DHAMNI,Unclassified
DHAMTARI,Unclassified
DHANBAD,Unclassified
DHANBAD EAST,Unclassified
DHAPA,Unclassified
DHAR,Unclassified
DHAR DIST.,Unclassified
DHARAMPUR,Unclassified
DHARAMPUR VALSAD,Unclassified
DHARAMSHALA,Unclassified
DHARAVI,Unclassified
DHARMALEELAPURAM,Unclassified
DHARMAPURI,Unclassified
DHARMAVARAM,Unclassified
DHARMAVARAM EAST,Unclassified
DHARUHERA,Unclassified
DHARWAD,Unclassified
DHAULA KUAN,Unclassified
DHEMAJI,Unclassified
DHENKANAL,Unclassified
DHENKANAL DIST.,Unclassified
DHER,Unclassified
DHODSAR,Unclassified
DHOLPUR,Unclassified
DHORAN PARDI (TRIBAL AREA,Unclassified
DHRANGADHRA,Unclassified
DHUBRI,Unclassified
DHULE,Unclassified
DHULIYAN,Unclassified
DIAMOND HARBOUR ROAD,Unclassified
DIBANG VALLEY,Unclassified
DIBRUGARH,Unclassified
DIBRUGARH DIST.,Unclassified
DIBRUGARH SIVASAGAR,Unclassified
DIFFERENT LOCATIONS IN UTTARAKHAND,Unclassified
DIFFERENT VILLAGES OF DIST. OF NAGPUR,Unclassified
DIMAKUCHI DIST.,Unclassified
DIMAPUR,Unclassified
DINDIGUL,Unclassified
DINDIGUL DIST.,Unclassified
DINDORI,Unclassified
DIST.NAGPUR,Unclassified
DIST.S IN MAHARASHTRA,Unclassified
DIST.S IN UPPER,Unclassified
DIST.S OF ERNAKULAM THIRUVALLA CALICUT,Unclassified
DIST.S OF NAGPUR,Unclassified
DOBHI,Unclassified
DODA,Unclassified
DODDABANAHALLI,Unclassified
DODDAGUBBI,Unclassified
DOLVI,Unclassified
DOMBIVALI,Unclassified
DONA PAULA,Unclassified
DONGARGAON,Unclassified
DONGARGARG,Unclassified
DONGRI,Unclassified
DORBA,Unclassified
DR.HEDGEWAR RUGNALAYA,Unclassified
DUBHEWADI,Unclassified
DULIAJAN DIBRUGARH,Unclassified
DUNGARPUR,Unclassified
DUNLOD,Unclassified
DURG,Unclassified
DURGAPUR,Unclassified
DWARKA,Unclassified
EAST,Unclassified
EAST CHAMPANER,Unclassified
EAST CHAMPARAN,Unclassified
EAST DELHI,Unclassified
EAST GODAVARI,Unclassified
EAST GODAVARI DIST.,Unclassified
EAST GODAWARI,Unclassified
EAST KHASI HILLS,Unclassified
EAST MEDINIPUR,Unclassified
EAST MIDNAPORE,Unclassified
EAST SIANG,Unclassified
EAST SIKKIM,Unclassified
EAST SINGHBHUM,Unclassified
EAST SINGHBUM,Unclassified
EDKARN AMBAGAR,Unclassified
EGMORE,Unclassified
EKLARI,Unclassified
EKNATHWADI,Unclassified
ELAVUR,Unclassified
ELURU,Unclassified
ENNORE,Unclassified
ERNAKULAM,Unclassified
ERNAKULAM DIST.,Unclassified
ERODE,Unclassified
ERODE DIST.,Unclassified
ERODE DIST.S,Unclassified
ERRAGUNTA,Unclassified
ESWARAPURAM,Unclassified
ETAH,Unclassified
ETALIN,Unclassified
ETAWAH,Unclassified
FAIZABAD,Unclassified
FARAKKA,Unclassified
FARAKKA DIST.,Unclassified
FARIDABAD,Unclassified
FARMERS TRAINING CENTRES AT THAL DIST.,Unclassified
FARRUKHABAD,Unclassified
FATEHGARH SAHIB,Unclassified
FATEHPUR,Unclassified
FATIKJAN GAON,Unclassified
FEROZEPUR,Unclassified
FIROZABAD,Unclassified
G.B.NAGAR,Unclassified
G.I.D.C.,Unclassified
G.I.D.C.DAHEJ,Unclassified
G.P.,Unclassified
GADAG,Unclassified
GADCHIROLI,Unclassified
GADEGAON,Unclassified
GAILPUR,Unclassified
GAJRAULA,Unclassified
GAJWEL,Unclassified
GANAPATHI,Unclassified
GANDHAR DIST.,Unclassified
GANDHIDHAM,Unclassified
GANDHINAGAR,Unclassified
GANDHINAGAR DIST.,Unclassified
GANDHINAGAR DIST.S,Unclassified
GANDINAGAR,Unclassified
GANGA PREM HOSPICE,Unclassified
GANGA REJUVENATION,Unclassified
GANGANAGAR,Unclassified
GANGANAGAR DIST.,Unclassified
GANGARAMPUR,Unclassified
GANGTOK,Unclassified
GANJAM,Unclassified
GARDEN REACH,Unclassified
GARHMUKTESHWAR,Unclassified
GARHWA,Unclassified
GARIABAND,Unclassified
GARIAHAT ROAD,Unclassified
GAURIBIDANUR,Unclassified
GAURIGANJ,Unclassified
GAUTAMBUDDHA NAGAR,Unclassified
GAUTAMBUDHHA NAGAR,Unclassified
GAYA,Unclassified
GETHIA,Unclassified
GHATKOPAR,Unclassified
GHAZIABAD,Unclassified
GHAZIPUR,Unclassified
GHEERAY HANSI,Unclassified
GHODAVLI,Unclassified
GHOGHA,Unclassified
GIDHALI,Unclassified
GILSUNDE,Unclassified
GIR SOMNATH,Unclassified
GIR SOMNATH DIST.,Unclassified
GIRIDIH,Unclassified
GIRIM,Unclassified
GIRIRAJ,Unclassified
GOALPARA,Unclassified
GOBARDH ANPUR OF DEOJHAR G.P.,Unclassified
GODAVARI,Unclassified
GODAVARI DIST.,Unclassified
GODAWARI DIST.,Unclassified
GODDA,Unclassified
GODHAVI,Unclassified
GOI,Unclassified
GOINDWAL SAHIB,Unclassified
GOLAN,Unclassified
GOLAP RATNAGIRI,Unclassified
GOLMURI,Unclassified
GONDA,Unclassified
GONDIA,Unclassified
GOPALGANJ,Unclassified
GOPALMATH,Unclassified
GORAKHPUR,Unclassified
GOTAN,Unclassified
GOTTIGERE,Unclassified
GOVERDHAN,Unclassified
GOVINDGARH,Unclassified
GP BIRIKALA,Unclassified
GP IN JODA BLOCK,Unclassified
GREATER GIR LANDSCAPE,Unclassified
GREATER NOIDA,Unclassified
GUA,Unclassified
GUDUR,Unclassified
GULBARGA,Unclassified
GUMLA,Unclassified
GUMLA DIST.,Unclassified
GUNA,Unclassified
GUNDLAMACHNOOR,Unclassified
GUNJIS,Unclassified
GUNTUR,Unclassified
GUNTUR DIST.,Unclassified
GURDASPUR,Unclassified
GURUGRAM,Unclassified
GURUGRAM DIST.,Unclassified
GURUVAYUR,Unclassified
GUWAHATI,Unclassified
GWALIOR,Unclassified
H.D.KOTE,Unclassified
H.M.T COLONY,Unclassified
HAIDERPUR,Unclassified
HALDIA,Unclassified
HALDIA EAST MIDNAPORE,Unclassified
HALEPERESANDRA,Unclassified
HALIYAL,Unclassified
HALOL,Unclassified
HAMIRPUR,Unclassified
HAMPI,Unclassified
HANSAKA,Unclassified
HAPUR,Unclassified
HARALI,Unclassified
HARBOUR,Unclassified
HARDA,Unclassified
HARDOI,Unclassified
HARI NAGAR,Unclassified
HARIDWAR,Unclassified
HARIPAL,Unclassified
HASSAN,Unclassified
HATHRAS,Unclassified
HATNOORA,Unclassified
HATNOORA MANDAL,Unclassified
HAUZ KHAS,Unclassified
HAVERI,Unclassified
HAVERI DIST.,Unclassified
HAZARIBAG,Unclassified
HAZARIBAG DIST.,Unclassified
HAZARIBAGH,Unclassified
HAZIRA,Unclassified
HEBBAGODI,Unclassified
HENNUR CROSS,Unclassified
HIDAYATH NAGAR ROAD,Unclassified
HIMMATNAGAR,Unclassified
HINDUPUR,Unclassified
HINGOLI,Unclassified
HINJEWADI,Unclassified
HIRAPURBHATERA IN BALAGHAT DIST.,Unclassified
HISAR,Unclassified
HOBLI,Unclassified
HOLLAVANAHALLI,Unclassified
HONNAKALASAPURA,Unclassified
HOOGHLY,Unclassified
HOOGHLY DIST.,Unclassified
HOSAD,Unclassified
HOSAPETE,Unclassified
HOSHANGABAD,Unclassified
HOSHANGABAD DIST.,Unclassified
HOSHIARPUR,Unclassified
HOSUR,Unclassified
HOWRAH,Unclassified
HUBLI,Unclassified
HUGLI,Unclassified
HUSKUR,Unclassified
HYDERABAD,Unclassified
HYDERPORA BYPASS CROSSING,Unclassified
ICHAPURUM,Unclassified
IGATPURI,Unclassified
IGT MAHARASHTRA,Unclassified
IMPHAL EAST,Unclassified
INDIRA NAGAR,Unclassified
INDORE,Unclassified
INDORE DIST.,Unclassified
ISHWAR NAGAR,Unclassified
ISNAPUR,Unclassified
ITANAGAR,Unclassified
ITI BANDIPORA,Unclassified
ITI CHANDEY IN SIKKIM,Unclassified
ITI KANDA,Unclassified
ITI KARGIL,Unclassified
ITI KISHTWAR,Unclassified
ITI LEH,Unclassified
ITI POKHARA,Unclassified
ITI RAMBAN,Unclassified
ITI REASI,Unclassified
ITI ROING,Unclassified
ITI RUDRAPRAYAG,Unclassified
ITI TABARIJO,Unclassified
ITI TANAKPUR,Unclassified
ITI URI,Unclassified
JABALPUR,Unclassified
JABALPUR RATLAM,Unclassified
JAGANNATHAPURAM,Unclassified
JAGATHSINGHPUR,Unclassified
JAGATSINGHPUR,Unclassified
JAGDALPUR,Unclassified
JAGDISHPUR,Unclassified
JAGGUTHANDA,Unclassified
JAINPUR,Unclassified
JAIPUR,Unclassified
JAISALMER,Unclassified
JAJPUR,Unclassified
JAJPUR KENDUJHA,Unclassified
JAKHOD,Unclassified
JALANDHAR,Unclassified
JALAUN,Unclassified
JALGAON,Unclassified
JALNA,Unclassified
JALORE,Unclassified
JALPAIGURI,Unclassified
JAMBUSAR,Unclassified
JAMDOLI,Unclassified
JAMMU,Unclassified
JAMNAGAR,Unclassified
JAMNAGAR DIST.,Unclassified
JAMSHEDPUR,Unclassified
JAMUI,Unclassified
JANGAON,Unclassified
JANJGIR,Unclassified
JANJGIR-CHAMPA,Unclassified
JANTAR MANTAR,Unclassified
JASHPUR,Unclassified
JASOLA VIHAR,Unclassified
JASWANTGARH,Unclassified
JAUNPUR,Unclassified
JAWAHAR,Unclassified
JAYAM COLLEGE OF ENGINEERING,Unclassified
JAYKAYPURAM,Unclassified
JEDCHERLA MANDAL,Unclassified
JEMUA,Unclassified
JERALDABARU,Unclassified
JHABUA,Unclassified
JHAHHAR,Unclassified
JHAJJAR,Unclassified
JHANOR,Unclassified
JHANSI,Unclassified
JHARKHAND PUBLIC SCHOOL,Unclassified
JHARSUGUDA,Unclassified
JHUNJHUNU,Unclassified
JHUNJHUNU DIST.,Unclassified
JILLELAGUDA,Unclassified
JIND,Unclassified
JOBNER,Unclassified
JODA BLOCK,Unclassified
JODHPUR,Unclassified
JOJOBERA,Unclassified
JORHAT,Unclassified
JOSHPUR,Unclassified
JUDGES ROAD RAMPUR,Unclassified
JUGALPURA,Unclassified
JUNAGADH,Unclassified
K.KONDURU,Unclassified
K0TTAYAM,Unclassified
KABIRDHAM,Unclassified
KACHCHH,Unclassified
KACHHE,Unclassified
KADAPA,Unclassified
KADAYALUMOODU KANYAKUMARI DIST.,Unclassified
KADEBURU,Unclassified
KADI,Unclassified
KADIYALI,Unclassified
KAGAL,Unclassified
KAHALGAON,Unclassified
KAIMUR,Unclassified
KAIRE,Unclassified
KAITHAL,Unclassified
KAKADEO,Unclassified
KAKINADA,Unclassified
KAKRAPAR,Unclassified
KALA AMB,Unclassified
KALAHANDI,Unclassified
KALAMASSERY,Unclassified
KALAMBIST,Unclassified
KALAMBOLI,Unclassified
KALKAJI,Unclassified
KALLIYAMPUDUR,Unclassified
KALMESHWAR,Unclassified
KALOL,Unclassified
KALOL FROM GANDHINAGAR,Unclassified
KALPAKKAM,Unclassified
KALTA,Unclassified
KALYAN,Unclassified
KALYANI,Unclassified
KAMARHATI,Unclassified
KAMPTEE,Unclassified
KAMRUP,Unclassified
KANAKAPURA,Unclassified
KANCHEEPURAM,Unclassified
KANCHEEPURAM DIST.,Unclassified
KANCHEEPURAM DIST.S,Unclassified
KANCHIPURAM,Unclassified
KANDARA,Unclassified
KANDARA OF JODA BLOCK,Unclassified
KANDAVARA,Unclassified
KANDHAMAL,Unclassified
KANDIVALI,Unclassified
KANDLA,Unclassified
KANGRA,Unclassified
KANHA NATIONAL PARK,Unclassified
KANIHA DIST.,Unclassified
KANJHAWALA ROAD,Unclassified
KANKER,Unclassified
KANKROLI,Unclassified
KANPUR,Unclassified
KANPUR DEHAT,Unclassified
KANPUR NAGAR,Unclassified
KANSBAHAL,Unclassified
KANYAKUMARI,Unclassified
KAPADA,Unclassified
KAPURTHALA,Unclassified
KARAMANANGARI,Unclassified
KARAMSAD,Unclassified
KARAN NAGAR,Unclassified
KARANSAHI,Unclassified
KARELI,Unclassified
KARGIL,Unclassified
KARHIBADAR,Unclassified
KARIMNAGAR,Unclassified
KARIMNAGAR DIST.,Unclassified
KARJAN,Unclassified
KARJAN NAVI PARDI,Unclassified
KARJAT,Unclassified
KARKHELI,Unclassified
KARNAJ SURAT,Unclassified
KARNAL,Unclassified
KARONDIYA,Unclassified
KARUNAGAPPALLY,Unclassified
KARUR,Unclassified
KARUR DINDIGUL,Unclassified
KARUR DIST.,Unclassified
KARVEER,Unclassified
KARWAR,Unclassified
KASAFAL,Unclassified
KASARGOD,Unclassified
KASAULI,Unclassified
KASGANJ,Unclassified
KASHIPUR,Unclassified
KASHMIR,Unclassified
KASIPUR,Unclassified
KASNA,Unclassified
KASODA,Unclassified
KASTURBA BALIKA VIDYALAYA,Unclassified
KATHUWAS,Unclassified
KATNI,Unclassified
KATOL DIST.,Unclassified
KATTAMURU,Unclassified
KATUPALLI,Unclassified
KAUSHAMBI,Unclassified
KAWARDHA,Unclassified
KAWAS DIST.,Unclassified
KAYAMKULAM,Unclassified
KAZIPALLY,Unclassified
KAZIRANGA,Unclassified
KEHRWARA TEHSILS,Unclassified
KENDUJHAR,Unclassified
KEOJHAR,Unclassified
KEONJHAR,Unclassified
KEONJHAR DIST.,Unclassified
KESINGA,Unclassified
KGF,Unclassified
KHALAPUR,Unclassified
KHAMMAM,Unclassified
KHAMMAM DIST.,Unclassified
KHANDALA,Unclassified
KHANDKE,Unclassified
KHANDRA,Unclassified
KHANDWA,Unclassified
KHANPUR,Unclassified
