Symbol,Company,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),latitude,longitude,state,district,city_town_village,Original_Raw_Location,Extractor_Method,Geocoder_Method
AARTIDRUGS,AARTI DRUGS LTD.,ERADICATION OF HUNGER & POVERTY,,SCHEDULE VII (I),24.13,21.0,,10.5,,10.5,29.4496979,77.7429333,Uttar Pradesh,Muzaffarnagar,,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,nominatim
AARTIDRUGS,AARTI DRUGS LTD.,HEALTH,,SCHEDULE VII (I),24.13,21.0,,10.5,,10.5,22.5554159,69.9428674,Gujarat,,Kachchh,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,photon
AARTIDRUGS,AARTI DRUGS LTD.,HEALTH,,SCHEDULE VII (I),24.13,21.0,,10.5,,10.5,19.054999,72.8692035,Maharashtra,Mumbai,,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,photon
AARTIDRUGS,AARTI DRUGS LTD.,HEALTH,,SCHEDULE VII (I),24.13,21.0,,10.5,,10.5,19.757249,73.0931199,Maharashtra,Palghar,,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,nominatim
AARTIDRUGS,AARTI DRUGS LTD.,HEALTH,,SCHEDULE VII (I),24.13,21.0,,10.5,,10.5,29.4496979,77.7429333,Uttar Pradesh,Muzaffarnagar,,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,nominatim
AARTIDRUGS,AARTI DRUGS LTD.,REHABILITATION IN DISASTER AFFECTED AREAS,,SCHEDULE VII (VIII),24.13,21.0,,10.5,,10.5,22.5554159,69.9428674,Gujarat,,Kachchh,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,photon
AARTIDRUGS,AARTI DRUGS LTD.,REHABILITATION IN DISASTER AFFECTED AREAS,,SCHEDULE VII (VIII),24.13,21.0,,10.5,,10.5,19.054999,72.8692035,Maharashtra,Mumbai,,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,photon
AARTIDRUGS,AARTI DRUGS LTD.,REHABILITATION IN DISASTER AFFECTED AREAS,,SCHEDULE VII (VIII),24.13,21.0,,10.5,,10.5,19.757249,73.0931199,Maharashtra,Palghar,,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,nominatim
AARTIDRUGS,AARTI DRUGS LTD.,REHABILITATION IN DISASTER AFFECTED AREAS,,SCHEDULE VII (VIII),24.13,21.0,,10.5,,10.5,29.4496979,77.7429333,Uttar Pradesh,Muzaffarnagar,,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,nominatim
AARTIIND,AARTI INDUSTRIES LTD.,COMMUNITY TOWNSHIP AND LIVELIHOOD OPPORTUNITIES ERADICATING POVERTY AND HUNGER.,,SCHEDULE VII (I),30.0,30.0,,15.0,,15.0,19.054999,72.8692035,Maharashtra,Mumbai Suburban District,Mumbai,MAHARASHTRA (MUMBAI),regex,nominatim
AARTIIND,AARTI INDUSTRIES LTD.,"EDUCATION & VOCATIONAL TRAINING, HEALTHCARE, WOMEN EMPOWERMENT, WATER CONSERVATION, HYGIENE AND SANITATION, LIVE STOCK DEVELOPMENT RURAL DEVELOPMENT",,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (III), SCHEDULE VII (X)",302.86,302.86,,151.43,,151.43,22.7455391,72.2974907,Gujarat,Ahmedabad,,"GUJARAT (AHMEDABAD,BHARUCH,BHAVNAGAR,KACHCHH,VALSAD),MAHARASHTRA (BOISAR,THANE)",llm,nominatim
AARTIIND,AARTI INDUSTRIES LTD.,"EDUCATION & VOCATIONAL TRAINING, HEALTHCARE, WOMEN EMPOWERMENT, WATER CONSERVATION, HYGIENE AND SANITATION, LIVE STOCK DEVELOPMENT RURAL DEVELOPMENT",,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (III), SCHEDULE VII (X)",302.86,302.86,,151.43,,151.43,21.8357373,72.8820876,Gujarat,Bharuch,,"GUJARAT (AHMEDABAD,BHARUCH,BHAVNAGAR,KACHCHH,VALSAD),MAHARASHTRA (BOISAR,THANE)",llm,nominatim
AARTIIND,AARTI INDUSTRIES LTD.,"EDUCATION & VOCATIONAL TRAINING, HEALTHCARE, WOMEN EMPOWERMENT, WATER CONSERVATION, HYGIENE AND SANITATION, LIVE STOCK DEVELOPMENT RURAL DEVELOPMENT",,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (III), SCHEDULE VII (X)",302.86,302.86,,151.43,,151.43,21.5656705,71.9077622,Gujarat,Bhavnagar,,"GUJARAT (AHMEDABAD,BHARUCH,BHAVNAGAR,KACHCHH,VALSAD),MAHARASHTRA (BOISAR,THANE)",llm,nominatim
AARTIIND,AARTI INDUSTRIES LTD.,"EDUCATION & VOCATIONAL TRAINING, HEALTHCARE, WOMEN EMPOWERMENT, WATER CONSERVATION, HYGIENE AND SANITATION, LIVE STOCK DEVELOPMENT RURAL DEVELOPMENT",,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (III), SCHEDULE VII (X)",302.86,302.86,,151.43,,151.43,22.5554159,69.9428674,Gujarat,,Kachchh,"GUJARAT (AHMEDABAD,BHARUCH,BHAVNAGAR,KACHCHH,VALSAD),MAHARASHTRA (BOISAR,THANE)",llm,photon
AARTIIND,AARTI INDUSTRIES LTD.,"EDUCATION & VOCATIONAL TRAINING, HEALTHCARE, WOMEN EMPOWERMENT, WATER CONSERVATION, HYGIENE AND SANITATION, LIVE STOCK DEVELOPMENT RURAL DEVELOPMENT",,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (III), SCHEDULE VII (X)",302.86,302.86,,151.43,,151.43,20.4321957,73.1409893,Gujarat,Valsad,,"GUJARAT (AHMEDABAD,BHARUCH,BHAVNAGAR,KACHCHH,VALSAD),MAHARASHTRA (BOISAR,THANE)",llm,nominatim
AARTIIND,AARTI INDUSTRIES LTD.,"EDUCATION & VOCATIONAL TRAINING, HEALTHCARE, WOMEN EMPOWERMENT, WATER CONSERVATION, HYGIENE AND SANITATION, LIVE STOCK DEVELOPMENT RURAL DEVELOPMENT",,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (III), SCHEDULE VII (X)",302.86,302.86,,151.43,,151.43,19.7976355,72.7539861,Maharashtra,Thane,Boisar,"GUJARAT (AHMEDABAD,BHARUCH,BHAVNAGAR,KACHCHH,VALSAD),MAHARASHTRA (BOISAR,THANE)",llm,photon
AARTIIND,AARTI INDUSTRIES LTD.,RELIEF & REHABILITATION,,SCHEDULE VII (VIII),27.0,27.0,,13.5,,13.5,33.6649297,75.1629584,Jammu and Kashmir,,,JAMMU & KASHMIR,regex,nominatim
ABB,ABB INDIA LTD.,ALTERATION OF REST ROOM AT GOVERNMENT PRIMARY SCHOOL NELAGADARNAHALLI PROMOTING EDUCATION,,"SCHEDULE VII (I), SCHEDULE VII (II)",,1.9,,,,,12.9767936,77.590082,Karnataka,Bengaluru Urban,Bengaluru,"KARNATAKA (BENGALURU,PEENYA)",regex,nominatim
ABB,ABB INDIA LTD.,ALTERATION OF REST ROOM AT GOVERNMENT PRIMARY SCHOOL NELAGADARNAHALLI PROMOTING EDUCATION,,"SCHEDULE VII (I), SCHEDULE VII (II)",,1.9,,,,,13.0329419,77.5273253,Karnataka,Bengaluru Urban,Bengaluru,"KARNATAKA (BENGALURU,PEENYA)",regex,nominatim
ABB,ABB INDIA LTD.,CIVIL WORKS AT GOVERNMENT GIRLS HIGH SCHOOL FARIDABAD PROMOTING EDUCATION,,SCHEDULE VII (II),,8.62,,,,,28.4031478,77.3105561,Haryana,Faridabad,Faridabad,HARYANA (FARIDABAD),regex,nominatim
ABB,ABB INDIA LTD.,CONTRIBUTIONS OF ESSENTIAL ITEMS TO TAMIL NADU FLOOD RELIEF OPERATION NATURAL DISASTERRELIEF,,SCHEDULE VII (VIII),,6.14,,,,,11.3323723,78.6098639,Tamil Nadu,,,TAMIL NADU,regex,nominatim
ABB,ABB INDIA LTD.,DISASTER RELIEF,,SCHEDULE VII (VIII),,8.44,,,,,52.4769889,-1.9277738,India,,,ALL STATES,regex,photon
ABB,ABB INDIA LTD.,EDUCATION,,SCHEDULE VII (II),,9.0,,,,,52.4769889,-1.9277738,India,,,ALL STATES,regex,photon
ABB,ABB INDIA LTD.,HEALTH,,SCHEDULE VII (I),,1.31,,,,,52.4769889,-1.9277738,India,,,ALL STATES,regex,photon
ABB,ABB INDIA LTD.,INFRASTRUCTURE AND CIVIL WORKS OF THE SCHOOL BUILDING AT PRIMARY SCHOOL GOVARDHAN SCHOOL NASHIK PROMOTING EDUCATION,,SCHEDULE VII (II),,4.12,,,,,20.0112475,73.7902364,Maharashtra,Nashik,Nashik,MAHARASHTRA (NASHIK),regex,nominatim
ABB,ABB INDIA LTD.,PAINTING WORK AT GOVERNMENT HIGHER PRIMARY SCHOOL LAGGERE CLUSTER BENGALURU PROMOTING EDUCATION,,SCHEDULE VII (II),,0.83,,,,,12.9767936,77.590082,Karnataka,Bengaluru Urban,Bengaluru,"KARNATAKA (BENGALURU,PEENYA)",regex,nominatim
ABB,ABB INDIA LTD.,PAINTING WORK AT GOVERNMENT HIGHER PRIMARY SCHOOL LAGGERE CLUSTER BENGALURU PROMOTING EDUCATION,,SCHEDULE VII (II),,0.83,,,,,13.0329419,77.5273253,Karnataka,Bengaluru Urban,Bengaluru,"KARNATAKA (BENGALURU,PEENYA)",regex,nominatim
ABB,ABB INDIA LTD.,PURCHASE OF SHOES FOR SCHOOL CHILDREN AT NASHIK GOVARDHAN SCHOOL PROMOTING EDUCATION,,SCHEDULE VII (II),,0.11,,,,,20.0112475,73.7902364,Maharashtra,Nashik,Nashik,MAHARASHTRA (NASHIK),regex,nominatim
ABB,ABB INDIA LTD.,PURCHASE OF TEXT BOOKS FOR GOVERNMENT HIGH SCHOOL FARIDABAD PROMOTING EDUCATION,,SCHEDULE VII (II),,0.42,,,,,28.4031478,77.3105561,Haryana,Faridabad,Faridabad,HARYANA (FARIDABAD),regex,nominatim
ABB,ABB INDIA LTD.,SPONSORING MID-DAY MEALS FOR THE HUMANITARIAN PROGRAMME FOR THE CHILDREN OF IDENTIFIED SCHOOLS THROUGH THE AKSHAYA PATRA FOUNDATION ERADICATING HUNGER AND PROMOTING EDUCATION,,"SCHEDULE VII (I), SCHEDULE VII (II)",,3.06,,,,,22.2374198,73.1886877,Gujarat,,Maneja,GUJARAT (MANEJA),regex,photon
ABB,ABB INDIA LTD.,SUPPLY OF PAPAD MAKING MACHINE TO THE NGO PRABHODHINI TRUST NASHIK DIFFERENTLY ABLED AND LIVELIHOOD ENHANCEMENT,,SCHEDULE VII (II),,0.25,,,,,20.0112475,73.7902364,Maharashtra,Nashik,Nashik,MAHARASHTRA (NASHIK),regex,nominatim
ABB,ABB INDIA LTD.,SUPPLY OF PREFABRICATE PORTOLET TOILET BLOCK TO 42 SCHOOLS IN BHAWANIPUR BLOCK PURNEA BIHAR PROMOTING SANITATION & SWACHH BHARATVIDYALAY,,SCHEDULE VII (I),,16.07,,,,,26.9301264,84.875983,Bihar,East Champaran,Bhawanipur,"BIHAR (BHAWANIPUR,PURNEA)",regex,nominatim
ABB,ABB INDIA LTD.,SUPPLY OF PREFABRICATE PORTOLET TOILET BLOCK TO 42 SCHOOLS IN BHAWANIPUR BLOCK PURNEA BIHAR PROMOTING SANITATION & SWACHH BHARATVIDYALAY,,SCHEDULE VII (I),,16.07,,,,,25.7773601,87.4731227,Bihar,Purnia,Purnia,"BIHAR (BHAWANIPUR,PURNEA)",regex,nominatim
ABB,ABB INDIA LTD.,SUPPLY OF STATIONERY ITEMS AND INSTRUMENTS BOXES FOR 15 SELECT GOVERNMENT SCHOOLS NELAMANGALA RURAL DISTRICT PROMOTING EDUCATION,,SCHEDULE VII (II),,0.46,,,,,13.0979667,77.3945591,Karnataka,Bengaluru North,Nelamangala,KARNATAKA (NELAMANGALA),regex,nominatim
ABB,ABB INDIA LTD.,TEXT BOOKS DISTRIBUTION PURCHASE OF MAINTENANCE ITEMS FOR SWACHH BHARAT CLEANING MISSION AT THE GOVERNMENT HIGH SCHOOL TANDAVAPURA MYSORE PROMOTING EDUCATION,,"SCHEDULE VII (I), SCHEDULE VII (II)",,0.11,,,,,12.3051828,76.6553609,Karnataka,Mysuru District,Mysuru,"KARNATAKA (MYSURU,TANDAVAPURA)",regex,nominatim
ABB,ABB INDIA LTD.,TEXT BOOKS DISTRIBUTION PURCHASE OF MAINTENANCE ITEMS FOR SWACHH BHARAT CLEANING MISSION AT THE GOVERNMENT HIGH SCHOOL TANDAVAPURA MYSORE PROMOTING EDUCATION,,"SCHEDULE VII (I), SCHEDULE VII (II)",,0.11,,,,,12.1676668,76.6777295,Karnataka,Mysuru District,Tandavapura,"KARNATAKA (MYSURU,TANDAVAPURA)",regex,nominatim
ABB,ABB INDIA LTD.,UNITED WAY OF BARODA LOCAL ART & CULTURAL FESTIVAL PROMOTION OF ART AND CULTURE,,SCHEDULE VII (V),,0.13,,,,,22.2374198,73.1886877,Gujarat,,Maneja,GUJARAT (MANEJA),regex,photon
ABB,ABB INDIA LTD.,WATER PROOFING WORK AT TERRACE GOVERNMENT HIGHER PRIMARY SCHOOL LAGGERE CLUSTER BENGALURU PROMOTING EDUCATION,,SCHEDULE VII (II),,0.1,,,,,12.9767936,77.590082,Karnataka,Bengaluru Urban,Bengaluru,"KARNATAKA (BENGALURU,PEENYA)",regex,nominatim
ABB,ABB INDIA LTD.,WATER PROOFING WORK AT TERRACE GOVERNMENT HIGHER PRIMARY SCHOOL LAGGERE CLUSTER BENGALURU PROMOTING EDUCATION,,SCHEDULE VII (II),,0.1,,,,,13.0329419,77.5273253,Karnataka,Bengaluru Urban,Bengaluru,"KARNATAKA (BENGALURU,PEENYA)",regex,nominatim
ABB,ABB INDIA LTD.,WEEKLY COMMUNITY HEALTH CAMP FOR LOCAL COMMUNITY IN PEENYA PROMOTING PREVENTIVE HEALTH CARE,,SCHEDULE VII (I),,0.3,,,,,12.9767936,77.590082,Karnataka,Bengaluru Urban,Bengaluru,"KARNATAKA (BENGALURU,PEENYA)",regex,nominatim
ABB,ABB INDIA LTD.,WEEKLY COMMUNITY HEALTH CAMP FOR LOCAL COMMUNITY IN PEENYA PROMOTING PREVENTIVE HEALTH CARE,,SCHEDULE VII (I),,0.3,,,,,13.0329419,77.5273253,Karnataka,Bengaluru Urban,Bengaluru,"KARNATAKA (BENGALURU,PEENYA)",regex,nominatim
ABGSHIP,ABG SHIPYARD LTD.,CONTRIBUTION TO CHIEF MINISTER CLEANLINESS FUND ENVIRONMENTAL SUSTAINABILITY,,SCHEDULE VII (IV),3.0,3.0,,3.0,,,22.3850051,71.745261,Gujarat,,,GUJARAT,regex,nominatim
ABGSHIP,ABG SHIPYARD LTD.,SUPPORT TO PRIMARY SCHOOL,,SCHEDULE VII (II),1.05,1.05,,1.05,,,22.3850051,71.745261,Gujarat,,,"GUJARAT,UTTARAKHAND",regex,nominatim
ABGSHIP,ABG SHIPYARD LTD.,SUPPORT TO PRIMARY SCHOOL,,SCHEDULE VII (II),1.05,1.05,,1.05,,,30.0417376,79.089691,Uttarakhand,,,"GUJARAT,UTTARAKHAND",regex,nominatim
ACC,ACC LTD.,ACC AROGYAM HEALTH ERADICATING HUNGER POVERTY AND MALNUTRITION PROMOTING PREVENTIVE HEALTH CARE AND SANITATION AND MAKING AVAILABLE SAFE DRINKING WATER,,SCHEDULE VII (I),129.5,92.5,"SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,CHATTISGARH PRADESH JUDO SANGH,AMHI AMCHYA AROGYASATHI,SARVA SEVA SAMITI SANSTHA,FORUM FOR RURAL DEVELOPMENT,SATTVA,HARITIKA,CREATIVE INDIA,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,UDYOGINI,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,PANCHAM RESEARCH & BIO TECH SANSTHAN,BALA JI ASSOCIATES,MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,INDIAN GRAMEEN SERVICES,CENTUM FOUNDATION,AKRUTI RURAL DEVELOPMENT TRUST,DEEDS,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,MAHASHAKTI FOUNDATION,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,AGRANEE JAN KALYAN ANUSTHAN,JAN SEVAK SAMITI,JAN MANGAL SANSTHAN,DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,CREDA,SANSKAR,WESTRIC TRUST,FOUNDATION FOR MSME CLUSTERS,DILASA JANVIKAS PRATISHTHAN,IIMPACT, NEW DELHI",,,,22.1638486,82.1365923,Chhattisgarh,Bilaspur,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)",llm,nominatim
ACC,ACC LTD.,ACC AROGYAM HEALTH ERADICATING HUNGER POVERTY AND MALNUTRITION PROMOTING PREVENTIVE HEALTH CARE AND SANITATION AND MAKING AVAILABLE SAFE DRINKING WATER,,SCHEDULE VII (I),129.5,92.5,"SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,CHATTISGARH PRADESH JUDO SANGH,AMHI AMCHYA AROGYASATHI,SARVA SEVA SAMITI SANSTHA,FORUM FOR RURAL DEVELOPMENT,SATTVA,HARITIKA,CREATIVE INDIA,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,UDYOGINI,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,PANCHAM RESEARCH & BIO TECH SANSTHAN,BALA JI ASSOCIATES,MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,INDIAN GRAMEEN SERVICES,CENTUM FOUNDATION,AKRUTI RURAL DEVELOPMENT TRUST,DEEDS,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,MAHASHAKTI FOUNDATION,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,AGRANEE JAN KALYAN ANUSTHAN,JAN SEVAK SAMITI,JAN MANGAL SANSTHAN,DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,CREDA,SANSKAR,WESTRIC TRUST,FOUNDATION FOR MSME CLUSTERS,DILASA JANVIKAS PRATISHTHAN,IIMPACT, NEW DELHI",,,,21.1982964,81.4007922,Chhattisgarh,Durg,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)",llm,nominatim
